1.5, 52.68152
1.49362, 52.68152
1.48087, 52.68152
1.46811, 52.68152
1.45536, 52.68152
1.4426, 52.68152
1.42985, 52.68152
1.41709, 52.68152
1.40434, 52.68152
1.39158, 52.68152
1.37883, 52.68152
1.36607, 52.68152
1.35332, 52.68152
1.34056, 52.68152
1.32781, 52.68152
1.31505, 52.68152
1.3023, 52.68152
1.28954, 52.68152
1.27679, 52.68152
1.26403, 52.68152
1.25128, 52.63896
1.23852, 52.59641
1.22577, 52.59641
1.21301, 52.55386
1.20026, 52.55386
1.1875, 52.55386
1.17474, 52.55386
1.16199, 52.5113
1.14923, 52.46875
1.13648, 52.38364
1.12372, 52.25598
1.11097, 52.12832
1.09821, 51.91556
1.08546, 51.74535
1.0727, 51.53258
1.05995, 51.36237
1.04719, 51.1496
1.03444, 50.89428
1.02168, 50.63896
1.00893, 50.38364
0.99617, 50.04322
0.98342, 49.70279
0.97066, 49.31981
0.95791, 48.93684
0.94515, 48.55386
0.9324, 48.12832
0.91964, 47.70279
0.90689, 47.27726
0.89413, 46.93684
0.88138, 46.5113
0.86862, 46.17088
0.85587, 45.7879
0.84311, 45.40492
0.83036, 45.02194
0.8176, 44.63896
0.80485, 44.25598
0.79209, 43.87301
0.77934, 43.44747
0.76658, 43.02194
0.7551, 42.59641
0.74235, 42.17088
0.73214, 41.74535
0.71939, 41.31981
0.70663, 40.89428
0.69388, 40.46875
0.6824, 40.04322
0.66964, 39.61769
0.65689, 39.19215
0.64413, 38.76662
0.63138, 38.34109
0.61862, 37.91556
0.60587, 37.49003
0.59439, 37.06449
0.58163, 36.63896
0.57015, 36.21343
0.55867, 35.7879
0.54592, 35.36237
0.53444, 34.93684
0.52168, 34.55386
0.50893, 34.12832
0.49745, 33.70279
0.48469, 33.31981
0.47321, 32.93684
0.46173, 32.5113
0.45026, 32.08577
0.43878, 31.66024
0.4273, 31.23471
0.41454, 30.80918
0.40306, 30.38364
0.39158, 29.95811
0.3801, 29.53258
0.36735, 29.10705
0.35587, 28.68152
0.34439, 28.25598
0.33163, 27.83045
0.31888, 27.40492
0.30612, 26.97939
0.29337, 26.55386
0.28189, 26.12832
0.27168, 25.70279
0.25893, 25.27726
0.24617, 24.85173
0.23342, 24.55386
0.22066, 24.21343
0.20791, 23.91556
0.19515, 23.66024
0.1824, 23.40492
0.16964, 23.23471
0.15689, 23.10705
0.14413, 22.97939
0.13138, 22.85173
0.11862, 22.76662
0.10587, 22.72407
0.09311, 22.68152
0.08036, 22.68152
0.0676, 22.68152
0.05485, 22.63896
0.04209, 22.59641
0.02934, 22.55386
0.01658, 22.55386
0, 22.55386
