0.0,0.000
0.5,0.160
1.0,0.188
1.5,0.208
2.0,0.225
2.5,0.240
3.0,0.253
3.5,0.265
4.0,0.277
4.5,0.287
5.0,0.297
5.5,0.307
6.0,0.316
6.5,0.325
7.0,0.334
7.5,0.343
8.0,0.351
8.5,0.359
9.0,0.367
9.5,0.375
10.0,0.383
10.5,0.391
11.0,0.398
11.5,0.406
12.0,0.413
12.5,0.420
13.0,0.428
13.5,0.435
14.0,0.442
14.5,0.449
15.0,0.456
15.5,0.463
16.0,0.470
16.5,0.477
17.0,0.484
17.5,0.491
18.0,0.498
18.5,0.505
19.0,0.512
19.5,0.519
20.0,0.526
20.5,0.533
21.0,0.541
21.5,0.548
22.0,0.555
22.5,0.562
23.0,0.569
23.5,0.576
24.0,0.583
24.5,0.590
25.0,0.597
25.5,0.604
26.0,0.612
26.5,0.619
27.0,0.626
27.5,0.633
28.0,0.641
28.5,0.648
29.0,0.655
29.5,0.662
30.0,0.670
30.5,0.677
31.0,0.684
31.5,0.692
32.0,0.699
32.5,0.707
33.0,0.714
33.5,0.721
34.0,0.729
34.5,0.736
35.0,0.744
35.5,0.751
36.0,0.758
36.5,0.766
37.0,0.773
37.5,0.781
38.0,0.788
38.5,0.796
39.0,0.803
39.5,0.811
40.0,0.818
40.5,0.826
41.0,0.833
41.5,0.841
42.0,0.848
42.5,0.856
43.0,0.863
43.5,0.871
44.0,0.878
44.5,0.886
45.0,0.894
45.5,0.901
46.0,0.909
46.5,0.917
47.0,0.925
47.5,0.933
48.0,0.941
48.5,0.949
49.0,0.957
49.5,0.965
50.0,0.974
50.5,0.982
51.0,0.991
51.5,1.000
52.0,1.009
52.5,1.018
53.0,1.027
53.5,1.037
54.0,1.047
54.5,1.057
55.0,1.068
55.5,1.079
56.0,1.091
56.5,1.104
57.0,1.117
57.5,1.132
58.0,1.148
58.5,1.167
59.0,1.190
59.5,1.220
60.0,1.276
